COD_PROVINCIA_MAT;CLAVE_TRAMITE;CODIGO_POSTAL;FECHA_PRIM_MAT;IND_USADO;PERSONA;SERVICIO;MUNICIPIO;KW;RENTING;IND_ROBO;FABRICANTE;DISTANCIA_EJES
V;1;46230;;N;D;B00;ALGINET;103.00;N;;VOLKSWAGENAG;2605
SE;1;41520;;N;X;B00;ELVISODELALCOR;133.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2855
GI;1;17480;;N;X;B00;ROSES;140.00;N;;BAYERISCHEMOTORENWERKEAG;2810
B;1;08940;;N;X;A11;CORNELLADELLOB;185.00;N;;ROSROCASA;3400
B;1;08240;;N;D;B00;MANRESA;66.00;N;;AUDIA.G.;2457
MA;1;29640;;N;D;B00;FUENGIROLA;55.00;N;;VOLKSWAGENAG;2407
M;B;28189;15122005;U;X;A01;TORREMOCHADEJARAMA;77.10;N;;ND;3400
TF;1;38670;;N;D;B00;ADEJE;48.50;N;;HYUNDAIASSANOTOMOTIVSANAYIVETICARETA.S.;2385
B;1;08980;;N;X;B00;SFELIUDELLOB;34.20;N;;YAMAHAMOTORCO,LTD;1580
SE;1;41400;;N;D;B00;ECIJA;3.20;N;;PIAGGIO&C.S.P.A;1315
BU;1;09003;;N;D;B00;BURGOS;10.55;N;;MBKINDUSTRIE;1525
V;1;46940;;N;X;A03;MANISES;55.00;N;;VOLKSWAGENAG;2456
B;1;08184;;N;D;B00;PALAUSOLITAIPLEGAMANS;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
SE;1;08021;;N;X;B00;BARCELONA;193.00;N;;DR.ING.H.C.F.PORSCHEAG;2895
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;ND;2589
GI;1;17820;;N;D;B00;BANYOLES;68.00;N;;AUTOMOBILESPEUGEOT;2728
TE;1;44600;;N;D;B00;ALCAÑIZ;97.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2780
TF;1;38007;;N;D;B00;SCTENERIFE;6.59;N;;DAELIMMOTORCOLTD;1300
IB;1;07670;;N;D;B00;FELANITX;54.00;N;;RENAULTS.A.S.;2589
BA;1;06893;;N;D;B00;SANPEDRODEMERIDA;77.00;N;;VOLKSWAGENAG;2620
M;1;28030;;N;D;B00;MADRID;80.00;N;;DAIMLERAG;2699
M;B;28189;25102006;U;X;A01;TORREMOCHADEJARAMA;77.10;N;;ND;3400
C;1;15100;;N;D;B00;CARBALLO;103.00;N;;ADAMOPELAG;2685
AL;1;04009;;N;D;B00;ALMERIA;103.00;N;;VOLKSWAGENAG;2524
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;110.00;S;;MAZDA;2830
M;1;28750;;N;X;B00;SANAGUSTINGUADALIX;110.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
CA;1;11201;;N;D;B00;ALGECIRAS;100.00;N;;DAIMLERAG;2699
AB;1;02003;;N;X;B00;ALBACETE;84.00;N;;AUTOMOBILESCITROEN;2608
CA;1;11403;;N;D;B00;JEREZDELAFTRA;110.00;N;;MITSUBISHIMOTORSCORPORATION;2670
IB;1;07315;;N;X;A01;ESCORCA;66.20;N;;HYUNDAIMOTORMANUFACTURINGCZECHS.R.O;2615
MA;1;29011;;N;D;B00;MALAGA;3.20;N;;PIAGGIO&C.S.P.A;1315
B;1;08780;;N;D;B00;PALLEJA;100.00;N;;DAIMLERAG;2699
VI;1;01010;;N;D;B00;VITORIAGASTEIZ;129.00;N;;SSANGYONGMOTORCO.;2650
A;1;03300;;N;X;B00;ORIHUELA;84.00;N;;AUTOMOBILESCITROEN;2670
AV;1;28979;;N;D;B00;SERRANILLOSVALLE;73.00;N;;AUTOMOBILESCITROEN;2595
CE;1;51002;;N;D;B00;CEUTA;3.30;N;;ZONGSHENPIAGGIOFOSHANMOTCOLTD;1200
M;1;28024;;N;D;B00;MADRID;85.00;N;;VOLKSWAGENAG;2920
GI;1;17800;;N;D;B00;OLOT;110.00;N;;AUDIA.G.;2817
O;1;33006;;N;D;B00;OVIEDO;15.00;N;;ND;1495
MA;1;29679;;N;D;B00;BENAHAVIS;77.00;N;;VOLKSWAGENAG;2620
NA;1;31180;;N;D;B00;ZIZURMAYOR;125.00;N;;DAIMLERAG;2874
M;1;28660;;N;X;B00;BOADILLADELMONTE;85.00;N;;AUTOMOBILESCITROEN;2785
SO;1;42200;;N;D;B00;ALMAZAN;92.00;N;;BAYERISCHEMOTORENWERKEAG;1490
CU;1;16415;;N;X;A00;VILLAMAYORSANTIAGO;0.00;N;;FLIEGLFAHRZEUGBAUGMBH;1410
GC;1;35572;;N;D;B00;TIAS;62.50;N;;KIAMOTORSCORPORATION;2570
B;1;08170;;N;D;B00;MONTORNESDELVALLES;77.00;N;;SEAT,S.A.;2578
V;1;46200;;N;D;B00;PAIPORTA;55.00;N;;VOLKSWAGENAG;2456
M;1;28770;;N;D;B00;COLMENARVIEJO;125.00;N;;DAIMLERAG;2699
M;1;28023;;N;X;B00;MADRID;125.00;N;;DAIMLERAG;2840
IB;1;07579;;N;D;B00;ARTA;63.00;N;;SEAT,S.A.;2469
PO;1;47300;;N;D;B00;PEÑAFIEL;85.00;N;;AUTOMOBILESCITROEN;2785
B;1;28864;;N;X;B00;AJALVIR;140.00;S;;AUDIA.G.;2914
B;1;08024;;N;D;B00;BARCELONA;7.00;N;;CHANGZHOUKWANGYANGMOTORCOLTD;1340
M;1;28213;;N;X;B00;COLMENARDELARROYO;66.00;N;;VOLKSWAGENAG;2456
MU;1;30204;;N;D;B00;CARTAGENA;97.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
L;1;25001;;N;D;B00;LLEIDA;97.00;N;;ND;2700
CA;1;11201;;N;D;B00;ALGECIRAS;85.00;N;;MITSUBISHIMOTORSCORPORATION;2670
SS;1;20214;;N;D;B00;SEGURA;103.00;N;;SKODAAUTOA.S.;2758
AL;1;04230;;N;D;B00;HUERCALDEALMERIA;100.00;N;;DAIMLERAG;2699
A;1;03006;;N;X;A00;ALICANTE;94.00;N;;AUTOMOBILESPEUGEOT;3000
M;1;28943;;N;D;B00;FUENLABRADA;66.00;N;;VOLKSWAGENAG;2456
T;1;12006;;N;X;B00;CASTELLOPLANA;55.00;N;;ND;2697
