FEC_MATRICULA;COD_CLASE_MAT;MARCA;MODELO;COD_PROCEDENCIA;BASTIDOR;COD_TIPO;COD_PROPULSION;CILINDRADA;TARA;PESO_MAX;NUM_PLAZAS;IND_PRECINTO;IND_EMBARGO;COD_PROVINCIA_VEH;COD_PROVINCIA_MAT;CLAVE_TRAMITE;CODIGO_POSTAL;FECHA_PRIM_MAT;IND_USADO;PERSONA;SERVICIO;MUNICIPIO;KW;RENTING;IND_ROBO;FABRICANTE;DISTANCIA_EJES
02012015;0;VOLKSWAGEN;TIGUAN;3;WVGZZZ5NZFW560988;40;1;1968;1466;2080;5;;;V;V;1;46230;;N;D;B00;ALGINET;103.00;N;;VOLKSWAGENAG;2605
02012015;0;LEXUS;LEXUSGS300H;1;JTHBH1BL905002555;40;0;2494;1735;2265;5;;;SE;SE;1;41520;;N;X;B00;ELVISODELALCOR;133.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2855
02012015;0;BMW;X3XDRIVE20D;3;WBAWZ510300L08000;40;1;1995;1745;2365;5;;;GI;GI;1;17480;;N;X;B00;ROSES;140.00;N;;BAYERISCHEMOTORENWERKEAG;2810
02012015;0;ROS-ROCA;160E;0;ZCFA61MJ302629888;0D;1;6728;11180;15600;3;;;B;B;1;08940;;N;X;A11;CORNELLADELLOB;185.00;N;;ROSROCASA;3400
02012015;0;AUDI;A1SPORTBACK;3;WAUZZZ8XXEB172922;40;1;1598;1160;1670;5;;;B;B;1;08240;;N;D;B00;MANRESA;66.00;N;;AUDIA.G.;2457
02012015;0;VOLKSWAGEN;UP;3;WVWZZZAAZFD000222;40;0;999;854;1290;4;;;MA;MA;1;29640;;N;D;B00;FUENGIROLA;55.00;N;;VOLKSWAGENAG;2407
02012015;0;NISSAN;NISSANCABSTAR;3;VWASDFTL053820638;01;1;2953;3270;3500;2;;;M;M;B;28189;15122005;U;X;A01;TORREMOCHADEJARAMA;77.10;N;;ND;3400
02012015;0;HYUNDAI;I10;1;NLHA751AAFZ031503;40;0;998;970;1420;5;;;TF;TF;1;38670;;N;D;B00;ADEJE;48.50;N;;HYUNDAIASSANOTOMOTIVSANAYIVETICARETA.S.;2385
02012015;0;YAMAHA;XP500;3;JYASJ091000019430;50;0;530;205;415;2;;;B;B;1;08980;;N;X;B00;SFELIUDELLOB;34.20;N;;YAMAHAMOTORCO,LTD;1580
02012015;6;PIAGGIO;VESPAPRIMAVERA;3;ZAPC5320000014433;90;0;49;102;295;2;;;SE;SE;1;41400;;N;D;B00;ECIJA;3.20;N;;PIAGGIO&C.S.P.A;1315
